<<<<<<< HEAD
Type,Name,Price,Data,Storage
=======
Plan Name,Price,Data,Features,URL

Koodo Home Internet 100,$50,50 Mbps,Unlimited data,https://www.koodomobile.com/en/shop/subscriptions/internet?INTCMP=KMNew_NavMenu_Shop_KoodoInternet
Koodo Home Internet 500,$75,500 Mbps,Unlimited data,https://www.koodomobile.com/en/shop/subscriptions/internet?INTCMP=KMNew_NavMenu_Shop_KoodoInternet
Koodo Home Internet Gigabit,$79,1Gbps,Unlimited data,https://www.koodomobile.com/en/shop/subscriptions/internet?INTCMP=KMNew_NavMenu_Shop_KoodoInternet
>>>>>>> 6ffb68225fc6a7e8cb0d62940ee4f63e847efc98
