Service_Type,Offer_Name,Monthly_Cost,Speed_Or_Data,Additional_Info
"Mobile-Postpaid","Want a phone plan for less?","$45","40GB","Want a phone plan for less? | Get 40GB for $45/mo. | per month | + | 10GB |   bonus data | . | Available on new activations when you bring your own phone. Includes Autopay credit1."
"Mobile-Postpaid","Want a phone plan for less?","$45","40GB","Want a phone plan for less? | Get 40GB for $45/mo. | per month | + | 10GB |   bonus data | ."
"Mobile-Prepaid","Special offer just for you","$50","Unlimited","Special offer just for you | Get up to 300 Mbps unlimited internet for $50/mo. | Shop now | Prices may increase during subscription."
"Mobile-Prepaid","Special offer just for you","$50","Unlimited","Special offer just for you | Get up to 300 Mbps unlimited internet for $50/mo. | Shop now"
